duration,startDate,startStation,endDate,endStation,bike,subscription,,startPos,endPos
0h 15m 1s,10/15/2012 17:08:00,Ward Circle / American University,10/15/2012 17:23:00,Columbia Rd & Belmont St NW,W00590,Subscriber,,38.938736:-77.087171:61.86817281060204,38.920669:-77.04368:20.582944739960553
0h 19m 9s,10/15/2012 17:07:00,M St & Pennsylvania Ave NW,10/15/2012 17:27:00,North Capitol St & F St NW,W00311,Subscriber,,38.905126:-77.056887:20.269144627354528,38.897446:-77.009888:33.10724318681378
0h 14m 19s,10/15/2012 17:07:00,20th St & Florida Ave NW,10/15/2012 17:22:00,Georgia & New Hampshire Ave NW,W00936,Subscriber,,38.9154:-77.0446:2.194542440324043,38.936043:-77.024649:4.096833069823336
0h 2m 45s,10/15/2012 17:07:00,20th & O St NW / Dupont South,10/15/2012 17:10:00,21st & M St NW,W01320,Subscriber,,38.908905:-77.04478:5.379990418676794,38.9054:-77.0471:24.384959716566712
0h 29m 35s,10/15/2012 13:45:00,Tenleytown / Wisconsin Ave & Albemarle St NW,10/15/2012 14:14:00,20th St & Florida Ave NW,W00286,Subscriber,,38.947607:-77.079382:34.73420946699907,38.9154:-77.0446:2.194542440324043
0h 3m 34s,10/15/2012 13:43:00,California St & Florida Ave NW,10/15/2012 13:47:00,Adams Mill & Columbia Rd NW,W01413,Subscriber,,38.917761:-77.04062:31.782494645373603,38.922925:-77.042581:68.37871253446838
0h 3m 47s,10/15/2012 13:43:00,Massachusetts Ave & Dupont Circle NW,10/15/2012 13:47:00,21st & M St NW,W00804,Subscriber,,38.9101:-77.0444:0.037382486137694,38.9054:-77.0471:24.384959716566712
0h 3m 14s,10/15/2012 13:43:00,4th & East Capitol St NE,10/15/2012 13:46:00,D St & Maryland Ave NE,W00477,Subscriber,,38.889955:-77.000349:73.17175884869012,38.894758:-76.997114:28.809089128566935
0h 19m 52s,10/15/2012 13:44:00,Thomas Circle,10/15/2012 14:03:00,22nd & I St NW / Foggy Bottom,W00016,Casual,,38.9059:-77.0325:87.29941591534198,38.90088:-77.048911:66.08616193116573
0h 8m 44s,10/15/2012 13:42:00,4th & D St NW / Judiciary Square,10/15/2012 13:50:00,4th & E St SW,W01421,Casual,,38.895344:-77.016106:63.901448503844094,38.88412:-77.017445:25.217931222451952
0h 8m 41s,10/15/2012 13:41:00,4th & D St NW / Judiciary Square,10/15/2012 13:50:00,4th & E St SW,W00885,Casual,,38.895344:-77.016106:63.901448503844094,38.88412:-77.017445:25.217931222451952
0h 3m 31s,10/15/2012 13:41:00,Massachusetts Ave & Dupont Circle NW,10/15/2012 13:44:00,21st & M St NW,W20048,Subscriber,,38.9101:-77.0444:0.037382486137694,38.9054:-77.0471:24.384959716566712
0h 6m 36s,10/15/2012 13:40:00,18th & M St NW,10/15/2012 13:47:00,Thomas Circle,W01329,Subscriber,,38.904742:-77.041606:97.94256624193794,38.9059:-77.0325:87.29941591534198
